1227
qstr_You_are_too_tired_to You_are_too_tired_to_channel...
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_{s0}__{s50}_ {s0}_({s50})
qstr_None None
qstr_{s55}__{reg0}%_ {s55}_({reg0}%)
qstr_{s55} {s55}
qstr_Staff: Staff:
qstr_You_paid_{reg0}_cash You_paid_{reg0}_cash_to_liquidate_a_debt
qstr_Earlier_cash: Earlier_cash:
qstr_New_cash: New_cash:
qstr_Done Done
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg1}
qstr_{s1}^HP:_{reg1}/{reg {s1}^HP:_{reg1}/{reg2}
qstr_{s1} {s1}
qstr_Weapon_upgrade_setti Weapon_upgrade_settings:
qstr_Apply_to_everyone Apply_to_everyone
qstr_Upgrade_armor_ Upgrade_armor_
qstr_Upgrade_horse_ Upgrade_horse_
qstr_Select_your_domestic Select_your_domestic_policy
qstr_Centralization: Centralization:
qstr_Aristocracy: Aristocracy:
qstr_Serfdom: Serfdom:
qstr_Troop_quality: Troop_quality:
qstr_Mercantilism: Mercantilism:
qstr_High_centralization_ High_centralization_reduces_tax_inefficiency_for_the_king_and_raises_it_for_vassals._This_will_interfere__the_relations_between_ruler_and_vassals.
qstr_High_aristocracy_wil High_aristocracy_will_improve_the_relations_between_the_king_and_his_vassals_who_will_be_able_to_raise_bigger_armies_but_it_will_decreased_trade.
qstr_High_serfdom_reduces High_serfdom_reduces_tax_inefficiency_for_the_king_and_his_vassals_and_vassals_can_maintain_bigger_armies_but_troops_loose_moral.
qstr_High_troop_quality_i High_troop_quality_increases_the_strength_of_troops_but_decreases_army_size.
qstr_Mercantilistic_polic Mercantilistic_policies_maximize_exports_while_minimizing_imports,_and_increase_government_regulation_of_industry.
qstr_Cancel Cancel
qstr_Dictate_the_peace_te Dictate_the_peace_terms
qstr_Select_the_castle_an Select_the_castle_and_the_amount_of_money_and_check_the_boxes_to_activate_the_demand._The_demands_are_combined_if_both_boxes_are_checked.
qstr_1000_denars 1000_denars
qstr__Faction_Relations_R _Faction_Relations_Report_
qstr__Return_to_menu_ _Return_to_menu_
qstr_Your_kingdom Your_kingdom
qstr_Player^Relation Player^Relation
qstr_{!}DEBUG___Drawing_l {!}DEBUG_-_Drawing_line_{reg20}
qstr_War War
qstr_Casus_Belli Casus_Belli
qstr_Peace Peace
qstr_Truce Truce
qstr_Alliance Alliance
qstr_Defense Defense
qstr_Trade Trade
qstr_{reg59?{reg59}_days: {reg59?{reg59}_days:}
qstr_{reg61} {reg61}
qstr_{s9} {s9}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{reg1} {reg1}
qstr_{s3} {s3}
qstr_{reg61}_{reg58?_{reg {reg61}_{reg58?({reg58}_U)_:}Centers
qstr_{reg62}_Caravans {reg62}_Caravans
qstr_{reg60}_{reg59?_{reg {reg60}_{reg59?({reg59}_P)_:}Lords
qstr_How_will_your_male_v How_will_your_male_vassals_be_known?
qstr_How_will_your_female How_will_your_female_vassals_be_known?
qstr_{!} {!}
qstr_Use_the_Titles_Enter Use_the_Titles_Entered_Above.
qstr_Use_Default_Titles__ Use_Default_Titles_(Lord/Lady).
qstr_Sell_items_automatic Sell_items_automaticly_when_leaving:
qstr_Price_limit_for_auto Price_limit_for_auto-sell:
qstr_Item_types_for_auto_ Item_types_for_auto-sell:
qstr_Select_all Select_all
qstr_Select_invert Select_invert
qstr_Buy_food_automatical Buy_food_automatically_when_leaving:
qstr_* *
qstr_Plan_Deployment Plan_Deployment
qstr_You_will_have_{reg1} You_will_have_{reg1}_troops_available_at_the_battle's_start
qstr_Troop Troop
qstr_#_at_start__/_#_in_p #_at_start__/_#_in_party
qstr_/_{reg0} /_{reg0}
qstr_{reg0} {reg0}
qstr_of_{reg0}_troops of_{reg0}_troops
qstr_Ready_Troops Ready_Troops
qstr_Reassess Reassess
qstr_Scrap_All Scrap_All
qstr_Too_many_troops^Chec Too_many_troops^Check_number_available
qstr_Initial Initial
qstr_Movement_1 Movement_1
qstr_Movement_2 Movement_2
qstr_Formation Formation
qstr_Attack Attack
qstr_Weapon_Type Weapon_Type
qstr_Shield Shield
qstr_Skirmish Skirmish
qstr_Hold_Position Hold_Position
qstr_Back_10 Back_10
qstr_Forward_10 Forward_10
qstr_Repeat_x Repeat_x
qstr_Square Square
qstr_Wedge Wedge
qstr_Shieldwall Shieldwall
qstr_Ranks Ranks
qstr_Ranged Ranged
qstr_Polearms Polearms
qstr_Two_Handed Two_Handed
qstr_One_Handed One_Handed
qstr_No_Shields No_Shields
qstr_Use_Shields Use_Shields
qstr_Avoid_Melee Avoid_Melee
qstr_Turn_to_weapon_order Turn_to_weapon_orders...
qstr_Prepare_Orders Prepare_Orders
qstr_Dispatch_Orders Dispatch_Orders
qstr_...Turn_to_positioni ...Turn_to_positioning_orders
qstr_Record_Battle_Size_a Record_Battle_Size_as_set_in_Options
qstr_Record_Battle_Size_as Record_Battle_Size_as_set_in_Options:
qstr_The__Weapon_Use_Fixe The_'Weapon_Use_Fixes'_change_NPC_decision-^making_with_the_following_weapon_types.^^Un-tick_the_boxes_if_you_dislike_the_behavior.
qstr_Use_NPC_Lancer_Fix: Use_NPC_Lancer_Fix:
qstr_Use_NPC_Horse_Archer Use_NPC_Horse_Archer_Fix:
qstr_Use_NPC_Spear/Polear Use_NPC_Spear/Polearm_Fix:
qstr_Use_Pike/Horse_Damag Use_Pike/Horse_Damage_Tweaks:
qstr_Reassign_De_horsed_C Reassign_De-horsed_Cavalry_to:
qstr_Reassign_No_Ammo_Arc Reassign_No-Ammo_Archers_to:
qstr_Disable_Horse_Speed_ Disable_Horse_Speed_Scaling:
qstr_Enable_Battle_Contin Enable_Battle_Continuation:
qstr_Enable__Charge__afte Enable_'Charge'_after_Knock-Out:
qstr_Enable_AI_Formations Enable_AI_Formations:
qstr_Enable_AI_Spear_Brac Enable_AI_Spear-Bracing:
qstr_Enable_Bodyguards_in Enable_Bodyguards_in_Towns/Villages:
qstr_Disable_Companions__ Disable_Companions'_complaints:
qstr_Enable_the_cheat_men Enable_the_cheat_menu:
qstr_{!}__Disabled__ {!}-_Disabled_-
qstr_Restore_Defaults Restore_Defaults
qstr_Set_Camera_Keys Set_Camera_Keys
qstr_Left_Mouse_Btn Left_Mouse_Btn
qstr_Right_Mouse_Btn Right_Mouse_Btn
qstr_Redefine_Keys_for_Cu Redefine_Keys_for_Custom_and_Death_Cams
qstr_Forward Forward
qstr_Backward Backward
qstr_Left Left
qstr_Right Right
qstr_Toggle_Mode Toggle_Mode
qstr_Up Up
qstr_Down Down
qstr_Death_Cam^Cycle_Foll Death_Cam^Cycle_Following_Troops
qstr_Next_Troop Next_Troop
qstr_Previous_Troop Previous_Troop
qstr_Press_a_key Press_a_key
qstr_PBOD_Preferences PBOD_Preferences
qstr_F4___Formations_orde F4_-_Formations_orders
qstr_F5___Weapon_orders F5_-_Weapon_orders
qstr_F6___Shield_orders F6_-_Shield_orders
qstr_F7___Attack_orders F7_-_Attack_orders
qstr_F4___Ranks F4_-_Ranks
qstr_F5___Shieldwall F5_-_Shieldwall
qstr_F6___Wedge F6_-_Wedge
qstr_F7___Square F7_-_Square
qstr_F8___No_Formation F8_-_No_Formation
qstr_F9___Escape_Menu F9_-_Escape_Menu
qstr_F5___One_Handers F5_-_One_Handers
qstr_F6___Two_Handers F6_-_Two_Handers
qstr_F7___Polearms F7_-_Polearms
qstr_F8___Ranged F8_-_Ranged
qstr_F5___Use_Shields F5_-_Use_Shields
qstr_F6___No_Shields F6_-_No_Shields
qstr_F7___Free F7_-_Free
qstr_F4___End_Order F4_-_End_Order
qstr_F5___Skirmish F5_-_Skirmish
qstr_F6___Volley_Fire F6_-_Volley_Fire
qstr_F7___Brace_Polearms F7_-_Brace_Polearms
qstr_DeathCam DeathCam
qstr_Camera Camera
qstr_Default Default
qstr_Follow Follow
qstr_Free Free
qstr_{!}{s0}_Mode:_{s1} {!}{s0}_Mode:_{s1}
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr__near_{s10} _near_{s10}
qstr_Your_recruiter_who_w Your_recruiter_who_was_commissioned_to_recruit_{reg10}_recruits_to_{s13}_has_been_defeated{s10}!
qstr_Your_caravan_sending Your_caravan_sending_{s12}_to_{s13}_has_been_defeated{s10}!
qstr_Your_messenger_on_th Your_messenger_on_the_way_to_{s13}_has_been_defeated{s10}!
qstr_Your_soldiers_patrol Your_soldiers_patrolling_{s13}_have_been_defeated{s10}!
qstr_A_scout_trying_to_ga A_scout_trying_to_gather_information_about_{s13}_has_been_slain{s10}!
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{s1}_is_now_a_prison {s1}_is_now_a_prisoner_of_{s2}.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_nowhere nowhere
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{!}{s57}_{s58} {!}{s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{!}{s9}_{s10} {!}{s9},_{s10}
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_There_are_no_active_ There_are_no_active_weaves_to_unravel...
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_wound_treament wound_treament
qstr_trainer trainer
qstr_surgery surgery
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Accompany Accompany
qstr_{!}_{s61} {!}_{s61}
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}_DEBUG_loot_playe {!}_DEBUG_loot_player_items:_g_player_surrenders_=_{reg0},_merciful_=_{reg1}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_Tribune Tribune
qstr_{s5}_of_the_{s7}_has {s5}_of_the_{s7}_has_taken_ownership_of_{s4}.
qstr_{s4}_has_been_awarde {s4}_has_been_awarded_to_{s5}_of_the_{s7}.
qstr_{!}DEBUG____{s4}_awa {!}DEBUG_--_{s4}_awarded_to_{s5}
qstr_pt_in_{s11} pt_in_{s11}
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_{!}DEBUG_:_There_are {!}DEBUG_:_There_are_already_enemies_({s6})_inside_{s7}.
qstr_{!}DEBUG____Calculat {!}DEBUG_--_Calculating_sortie_for_{s4}_strength_of_{reg3}_vs_{reg4}_enemies
qstr_Small_bands_of_enemi Small_bands_of_enemies_spotted_near_{s1}.
qstr_Enemy_patrols_spotte Enemy_patrols_spotted_near_{s1}.
qstr_Medium_sized_group_o Medium-sized_group_of_enemies_spotted_near_{s1}.
qstr_Significant_group_of Significant_group_of_enemies_spotted_near_{s1}.
qstr_Army_of_enemies_spot Army_of_enemies_spotted_near_{s1}.
qstr_Large_army_of_enemie Large_army_of_enemies_spotted_near_{s1}.
qstr_Great_host_of_enemie Great_host_of_enemies_spotted_near_{s1}.
qstr_{!}DEBUG_:_{s7}_is_h {!}DEBUG_:_{s7}_is_helping_his_commander_by_fighting_with_{s6}.
qstr_{s0}_collects_{reg0} {s0}_collects_{reg0}_denars_from_{s4},_current_wealth:_{reg1}_denars
qstr_{reg2} {reg2}
qstr__{s10}_of_{s13}_recr _{s10}_of_{s13}_recruits_{s11}_{s12}_in_{s14}
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr__{s1}__{s11}:_{s14} ({s1})_{s11}:_{s14}
qstr_{s14}__{s21}_ {s14}_({s21})
qstr_{!}DEBUG____{s4}_dro {!}DEBUG_--_{s4}_drops_{s5}_as_issue_as_it_has_changed_hands
qstr_{!}DEBUG____Issue_re {!}DEBUG_--_Issue_resolution_for_{s4}:_{reg4}_votes_for_a_quorum_of_{reg5},_{reg7}_hours_on_agenda
qstr_{!}DEBUG____Faction_ {!}DEBUG_--_Faction_resolves_political_issue
qstr_{s5}_has_the_greates {s5}_has_the_greatest_support_among_the_lords_of_the_{s4}_to_be_the_next_marshall,_but_{s0}_overrules_their_choice.
qstr_{s5}_has_the_greatest {s5}_has_the_greatest_support_among_the_lords_of_the_{s4}_to_receive_{s1},_but_{s0}_overrules_their_choice.
qstr_{!}DEBUG____{s4}_drop {!}DEBUG_--_{s4}_drops_{s5}_as_winner,_for_having_changed_sides
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshal_of_{s2}.
qstr_{!}DEBUG____{s4}_par {!}DEBUG_--_{s4}_participates_in_offensive
qstr_{!}DEBUG____{s4}_cho {!}DEBUG_--_{s4}_chosen_as_screen
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_{!}_There_is_widespr {!}_There_is_widespread_ill-will_towards_you_in_the_{s1}.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{!}DEbug___{s5}_cara {!}DEbug_-_{s5}_caravan_attacked
qstr_{s0}_is_laying_siege {s0}_is_laying_siege_to_{s1}.
qstr_{s0}_is_patrolling_a {s0}_is_patrolling_around_{s1}.
qstr_{s0}_is_raiding_arou {s0}_is_raiding_around_{s1}.
qstr_{s0}_is_engaging_{s1 {s0}_is_engaging_{s1}.
qstr_{s0}_is_accompanying {s0}_is_accompanying_{s1}.
qstr_{s0}_is_screening_th {s0}_is_screening_the_advance_of_{s1}.
qstr_{s0}_is_trading_with {s0}_is_trading_with_{s1}.
qstr_{s0}_is_retreating_t {s0}_is_retreating_to_{s1}.
qstr_{s0}_is_visiting_{s1 {s0}_is_visiting_{s1}.
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
qstr_{s1}_and_{s2}_have_e {s1}_and_{s2}_have_ended_the_war_between_them.
qstr_{!}DEBUG:_{s5}_has_t {!}DEBUG:_{s5}_has_truce_with_{s6}._Pact_with_{s7}_is_harder!
qstr_{!}DEBUG____Player_s {!}DEBUG_--_Player's_kingdom_has_had_{reg3}_days_of_peace
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_the_field_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party.
qstr_{!}DEBUG____{s4}_is_p {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_attending_the_feast
qstr_{!}DEBUG____{s4}_is_pr {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_awaiting_the_player_in_private
qstr_{!}DEBUG____{s4}_is_pre {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_allowed_to_meet_the_player
qstr_{!}DEBUG____{s4}is_p {!}DEBUG_--_{s4}is_present_at_the_center_and_is_not_allowed_to_meet_the_player
qstr_You_now_owe_{reg2}_d You_now_owe_{reg2}_denars_to_{s1}.
qstr_{!}DEBUG___Main_part {!}DEBUG_-_Main_party_raw_strength_{reg1},_terrain_code_{reg2},_modified_strength_{reg0}
qstr_{!}_DEBUG___Enemy_pa {!}_DEBUG_-_Enemy_party_raw_strength_{reg1},_terrain_code_{reg2},_modified_strength_{reg0}
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_{!}DEBUG____Trade_fr {!}DEBUG_--_Trade_from_{s3}_to_{s4}:_rolled_random_impact_of_{reg4}
qstr_{!}DEBUG____Trade_of {!}DEBUG_--_Trade_of_{s5}_from_{s3}_to_{s4}_brings_price_from_{reg4}_to__{reg5}
qstr_{!}DEBUG___{s4}_factio {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_1
qstr_{!}_DEBUG___{s4}_cha {!}_DEBUG_-_{s4}_changed_by_player's_defection
qstr_{!}DEBUG___{s4}_faction {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_3
qstr_Your_soldiers_patroll Your_soldiers_patrolling_{s6}_disbanded_because_you_left_the_faction!
qstr_{s1}_Rebels {s1}_Rebels
qstr_{!}DEBUG___{s4}_faction_ {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_2
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
